#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Apr 25 00:35:36 EDT 2024,0,0,Assignment4TwoClientSuite, , ,RMITwoClientConnection+ RMITwoClientReadWriteNonAtomic+ ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments ,
0,Thu Apr 25 00:35:36 EDT 2024,0,0,Assignment4TwoClientSuite, , ,RMITwoClientConnection+ RMITwoClientReadWriteNonAtomic+ ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments ,
1,Thu Apr 25 00:35:38 EDT 2024,0,0,A4GeneralStyleSuite, , ,A4AccessModifiersMatched+ A4InterfaceAsType+ A4MnemonicNames+ A4NamedConstants+ A4NoCheckstyleWarnings+ A4PublicMethodsOverride+ RMITwoClientConnection RMITwoClientReadWriteNonAtomic ,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments ,
1,Thu Apr 25 00:35:38 EDT 2024,0,0,A4GeneralStyleSuite, , ,A4AccessModifiersMatched+ A4InterfaceAsType+ A4MnemonicNames+ A4NamedConstants+ A4NoCheckstyleWarnings+ A4PublicMethodsOverride+ RMITwoClientConnection RMITwoClientReadWriteNonAtomic ,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments ,
2,Thu Apr 25 00:35:45 EDT 2024,0,0,Assignment4OneClientSuite, , ,A4AccessModifiersMatched A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride RMIOneClientConnection+ RMIOneClientReadWriteNonAtomic+ RMIStaticArguments+ RMITwoClientConnection RMITwoClientReadWriteNonAtomic ,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined ,
2,Thu Apr 25 00:35:45 EDT 2024,0,0,Assignment4OneClientSuite, , ,A4AccessModifiersMatched A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride RMIOneClientConnection+ RMIOneClientReadWriteNonAtomic+ RMIStaticArguments+ RMITwoClientConnection RMITwoClientReadWriteNonAtomic ,A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4SpuriousCalls A4TaggedClassesDefined ,
3,Thu Apr 25 00:35:45 EDT 2024,0,0,A4SpecificStyleSuite, , ,A4AccessModifiersMatched A4ExpectedCalls+ A4ExpectedInterfaces+ A4ExpectedSignatures+ A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls+ A4TaggedClassesDefined+ RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,
3,Thu Apr 25 00:35:45 EDT 2024,0,0,A4SpecificStyleSuite, , ,A4AccessModifiersMatched A4ExpectedCalls+ A4ExpectedInterfaces+ A4ExpectedSignatures+ A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls+ A4TaggedClassesDefined+ RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,
4,Sun Apr 28 14:25:02 EDT 2024,0,0,A4SpecificStyleSuite, , ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,
4,Sun Apr 28 14:25:02 EDT 2024,0,0,A4SpecificStyleSuite, , ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientConnection RMIOneClientReadWriteNonAtomic RMIStaticArguments RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,
5,Sun Apr 28 14:29:11 EDT 2024,12,12,Assignment4OneClientSuite,RMIOneClientConnection+ RMIStaticArguments+ , ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientReadWriteNonAtomic RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,
5,Sun Apr 28 14:29:11 EDT 2024,12,12,Assignment4OneClientSuite,RMIOneClientConnection+ RMIStaticArguments+ , ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientReadWriteNonAtomic RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,
6,Sun Apr 28 14:29:31 EDT 2024,12,0,Assignment4OneClientSuite,RMIOneClientConnection RMIStaticArguments , ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientReadWriteNonAtomic RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,
6,Sun Apr 28 14:29:31 EDT 2024,12,0,Assignment4OneClientSuite,RMIOneClientConnection RMIStaticArguments , ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientReadWriteNonAtomic RMITwoClientConnection RMITwoClientReadWriteNonAtomic , ,
7,Sun Apr 28 14:32:33 EDT 2024,18,6,Assignment4TwoClientSuite,RMIOneClientConnection RMIStaticArguments RMITwoClientConnection+ , ,A4AccessModifiersMatched A4ExpectedCalls A4ExpectedInterfaces A4ExpectedSignatures A4InterfaceAsType A4MnemonicNames A4NamedConstants A4NoCheckstyleWarnings A4PublicMethodsOverride A4SpuriousCalls A4TaggedClassesDefined RMIOneClientReadWriteNonAtomic RMITwoClientReadWriteNonAtomic , ,
